date,article_count,sentiment_sum,sentiment_mean,sentiment_sum_lag1,sentiment_mean_lag1
2017-01-01,4,0,0.0,,
2017-01-02,29,1,0.034482758620689655,0.0,0.0
2017-01-03,65,0,0.0,1.0,0.034482758620689655
2017-01-04,67,-3,-0.04477611940298507,0.0,0.0
2017-01-05,45,-3,-0.06666666666666667,-3.0,-0.04477611940298507
2017-01-06,23,1,0.043478260869565216,-3.0,-0.06666666666666667
2017-01-07,16,2,0.125,1.0,0.043478260869565216
2017-01-08,7,0,0.0,2.0,0.125
2017-01-09,7,2,0.2857142857142857,0.0,0.0
2017-01-10,18,-2,-0.1111111111111111,2.0,0.2857142857142857
2017-01-11,61,4,0.06557377049180328,-2.0,-0.1111111111111111
2017-01-12,54,27,0.5,4.0,0.06557377049180328
2017-01-13,47,-1,-0.02127659574468085,27.0,0.5
2017-01-14,56,4,0.07142857142857142,-1.0,-0.02127659574468085
2017-01-15,20,4,0.2,4.0,0.07142857142857142
2017-01-16,62,12,0.1935483870967742,4.0,0.2
2017-01-17,45,3,0.06666666666666667,12.0,0.1935483870967742
2017-01-18,25,3,0.12,3.0,0.06666666666666667
2017-01-19,78,38,0.48717948717948717,3.0,0.12
2017-01-20,14,4,0.2857142857142857,38.0,0.48717948717948717
2017-01-21,7,0,0.0,4.0,0.2857142857142857
2017-02-19,32,-1,-0.03125,0.0,0.0
2017-02-20,90,3,0.03333333333333333,-1.0,-0.03125
2017-02-21,16,0,0.0,3.0,0.03333333333333333
2017-02-22,28,-1,-0.03571428571428571,0.0,0.0
2017-02-23,27,-1,-0.037037037037037035,-1.0,-0.03571428571428571
2017-02-24,45,7,0.15555555555555556,-1.0,-0.037037037037037035
2017-02-25,12,1,0.08333333333333333,7.0,0.15555555555555556
2017-02-26,1,1,1.0,1.0,0.08333333333333333
2017-02-27,37,-5,-0.13513513513513514,1.0,1.0
2017-02-28,117,-36,-0.3076923076923077,-5.0,-0.13513513513513514
2017-03-01,18,0,0.0,-36.0,-0.3076923076923077
2017-03-02,9,0,0.0,0.0,0.0
2017-03-03,41,1,0.024390243902439025,0.0,0.0
2017-03-04,27,0,0.0,1.0,0.024390243902439025
2017-03-05,12,0,0.0,0.0,0.0
2017-03-06,21,5,0.23809523809523808,0.0,0.0
2017-03-07,104,4,0.038461538461538464,5.0,0.23809523809523808
2017-03-08,23,1,0.043478260869565216,4.0,0.038461538461538464
2017-03-09,39,20,0.5128205128205128,1.0,0.043478260869565216
2017-03-10,42,23,0.5476190476190477,20.0,0.5128205128205128
2017-03-11,9,3,0.3333333333333333,23.0,0.5476190476190477
2017-03-26,6,0,0.0,3.0,0.3333333333333333
2017-03-27,1,0,0.0,0.0,0.0
2017-03-28,158,11,0.06962025316455696,0.0,0.0
2017-03-29,17,2,0.11764705882352941,11.0,0.06962025316455696
2017-03-30,47,0,0.0,2.0,0.11764705882352941
2017-03-31,5,0,0.0,0.0,0.0
2017-04-01,16,2,0.125,0.0,0.0
2017-04-02,9,-1,-0.1111111111111111,2.0,0.125
2017-04-03,17,-1,-0.058823529411764705,-1.0,-0.1111111111111111
2017-04-04,22,8,0.36363636363636365,-1.0,-0.058823529411764705
2017-04-05,41,23,0.5609756097560976,8.0,0.36363636363636365
2017-04-06,68,5,0.07352941176470588,23.0,0.5609756097560976
2017-04-07,68,5,0.07352941176470588,5.0,0.07352941176470588
2017-04-08,25,3,0.12,5.0,0.07352941176470588
2017-04-09,15,0,0.0,3.0,0.12
2017-04-10,44,-1,-0.022727272727272728,0.0,0.0
2017-04-11,23,-1,-0.043478260869565216,-1.0,-0.022727272727272728
2017-04-12,19,2,0.10526315789473684,-1.0,-0.043478260869565216
2017-04-13,107,32,0.29906542056074764,2.0,0.10526315789473684
2017-04-14,24,2,0.08333333333333333,32.0,0.29906542056074764
2017-04-15,18,-1,-0.05555555555555555,2.0,0.08333333333333333
2017-04-16,2,1,0.5,-1.0,-0.05555555555555555
2017-04-19,39,6,0.15384615384615385,1.0,0.5
2017-04-20,43,5,0.11627906976744186,6.0,0.15384615384615385
2017-04-21,110,17,0.15454545454545454,5.0,0.11627906976744186
2017-04-22,56,17,0.30357142857142855,17.0,0.15454545454545454
2017-04-23,43,-1,-0.023255813953488372,17.0,0.30357142857142855
2017-04-24,57,10,0.17543859649122806,-1.0,-0.023255813953488372
2017-04-25,25,1,0.04,10.0,0.17543859649122806
2017-04-26,27,2,0.07407407407407407,1.0,0.04
2017-04-27,16,1,0.0625,2.0,0.07407407407407407
2017-04-28,41,2,0.04878048780487805,1.0,0.0625
2017-04-29,39,2,0.05128205128205128,2.0,0.04878048780487805
2017-04-30,2,0,0.0,2.0,0.05128205128205128
2017-05-14,10,1,0.1,0.0,0.0
2017-05-15,30,3,0.1,1.0,0.1
2017-05-16,26,0,0.0,3.0,0.1
2017-05-17,32,5,0.15625,0.0,0.0
2017-05-18,52,16,0.3076923076923077,5.0,0.15625
2017-05-19,88,39,0.4431818181818182,16.0,0.3076923076923077
2017-05-20,12,1,0.08333333333333333,39.0,0.4431818181818182
2017-05-21,11,0,0.0,1.0,0.08333333333333333
2017-05-22,36,2,0.05555555555555555,0.0,0.0
2017-05-23,19,1,0.05263157894736842,2.0,0.05555555555555555
2017-05-24,58,-17,-0.29310344827586204,1.0,0.05263157894736842
2017-05-25,44,-7,-0.1590909090909091,-17.0,-0.29310344827586204
2017-05-26,54,-6,-0.1111111111111111,-7.0,-0.1590909090909091
2017-05-27,27,-4,-0.14814814814814814,-6.0,-0.1111111111111111
2017-05-28,4,-1,-0.25,-4.0,-0.14814814814814814
2017-05-29,20,-1,-0.05,-1.0,-0.25
2017-05-30,10,-3,-0.3,-1.0,-0.05
2017-05-31,12,-1,-0.08333333333333333,-3.0,-0.3
2017-06-01,89,9,0.10112359550561797,-1.0,-0.08333333333333333
2017-06-02,82,8,0.0975609756097561,9.0,0.10112359550561797
2017-06-03,34,0,0.0,8.0,0.0975609756097561
2017-06-04,111,35,0.3153153153153153,0.0,0.0
2017-06-05,39,10,0.2564102564102564,35.0,0.3153153153153153
2017-06-06,76,6,0.07894736842105263,10.0,0.2564102564102564
2017-06-07,3,1,0.3333333333333333,6.0,0.07894736842105263
2017-06-08,2,0,0.0,1.0,0.3333333333333333
2017-06-09,12,2,0.16666666666666666,0.0,0.0
2017-06-10,7,0,0.0,2.0,0.16666666666666666
2017-06-11,6,0,0.0,0.0,0.0
2017-06-12,11,0,0.0,0.0,0.0
2017-06-13,10,1,0.1,0.0,0.0
2017-06-14,22,1,0.045454545454545456,1.0,0.1
2017-06-15,131,47,0.35877862595419846,1.0,0.045454545454545456
2017-06-16,60,8,0.13333333333333333,47.0,0.35877862595419846
2017-06-17,10,0,0.0,8.0,0.13333333333333333
2017-07-02,71,-21,-0.29577464788732394,0.0,0.0
2017-07-03,74,-35,-0.47297297297297297,-21.0,-0.29577464788732394
2017-07-04,70,6,0.08571428571428572,-35.0,-0.47297297297297297
2017-07-05,9,0,0.0,6.0,0.08571428571428572
2017-07-06,16,5,0.3125,0.0,0.0
2017-07-07,6,3,0.5,5.0,0.3125
2017-07-08,4,0,0.0,3.0,0.5
2017-07-09,12,0,0.0,0.0,0.0
2017-07-10,24,0,0.0,0.0,0.0
2017-07-11,78,1,0.01282051282051282,0.0,0.0
2017-07-12,80,-8,-0.1,1.0,0.01282051282051282
2017-07-13,30,0,0.0,-8.0,-0.1
2017-07-14,19,3,0.15789473684210525,0.0,0.0
2017-07-15,7,0,0.0,3.0,0.15789473684210525
2017-07-16,1,0,0.0,0.0,0.0
2017-07-17,3,0,0.0,0.0,0.0
2017-07-18,4,1,0.25,0.0,0.0
2017-07-19,18,0,0.0,1.0,0.25
2017-07-20,115,74,0.6434782608695652,0.0,0.0
2017-07-21,46,37,0.8043478260869565,74.0,0.6434782608695652
2017-07-22,63,23,0.36507936507936506,37.0,0.8043478260869565
2017-07-30,20,8,0.4,23.0,0.36507936507936506
2017-07-31,73,23,0.3150684931506849,8.0,0.4
2017-08-01,82,12,0.14634146341463414,23.0,0.3150684931506849
2017-08-02,33,8,0.24242424242424243,12.0,0.14634146341463414
2017-08-03,27,3,0.1111111111111111,8.0,0.24242424242424243
2017-08-04,14,1,0.07142857142857142,3.0,0.1111111111111111
2017-08-05,1,0,0.0,1.0,0.07142857142857142
2017-08-06,13,0,0.0,0.0,0.0
2017-08-07,30,3,0.1,0.0,0.0
2017-08-08,55,7,0.12727272727272726,3.0,0.1
2017-08-09,38,15,0.39473684210526316,7.0,0.12727272727272726
2017-08-10,53,9,0.16981132075471697,15.0,0.39473684210526316
2017-08-11,45,12,0.26666666666666666,9.0,0.16981132075471697
2017-08-12,16,3,0.1875,12.0,0.26666666666666666
2017-08-13,54,1,0.018518518518518517,3.0,0.1875
2017-08-14,64,9,0.140625,1.0,0.018518518518518517
2017-08-15,67,27,0.40298507462686567,9.0,0.140625
2017-08-16,26,6,0.23076923076923078,27.0,0.40298507462686567
2017-08-17,12,2,0.16666666666666666,6.0,0.23076923076923078
2017-08-18,12,1,0.08333333333333333,2.0,0.16666666666666666
2017-08-19,15,0,0.0,1.0,0.08333333333333333
2017-10-22,15,3,0.2,0.0,0.0
2017-10-23,14,3,0.21428571428571427,3.0,0.2
2017-10-24,30,3,0.1,3.0,0.21428571428571427
2017-10-25,47,13,0.2765957446808511,3.0,0.1
2017-10-26,47,4,0.0851063829787234,13.0,0.2765957446808511
2017-10-27,42,2,0.047619047619047616,4.0,0.0851063829787234
2017-10-28,55,-2,-0.03636363636363636,2.0,0.047619047619047616
2017-10-29,3,0,0.0,-2.0,-0.03636363636363636
2017-10-30,19,1,0.05263157894736842,0.0,0.0
2017-10-31,25,-2,-0.08,1.0,0.05263157894736842
2017-11-01,104,7,0.0673076923076923,-2.0,-0.08
2017-11-02,46,2,0.043478260869565216,7.0,0.0673076923076923
2017-11-03,46,0,0.0,2.0,0.043478260869565216
2017-11-04,7,0,0.0,0.0,0.0
2017-11-05,9,1,0.1111111111111111,0.0,0.0
2017-11-06,25,2,0.08,1.0,0.1111111111111111
2017-11-07,62,28,0.45161290322580644,2.0,0.08
2017-11-08,33,4,0.12121212121212122,28.0,0.45161290322580644
2017-11-09,65,40,0.6153846153846154,4.0,0.12121212121212122
2017-11-10,47,28,0.5957446808510638,40.0,0.6153846153846154
2017-11-11,9,6,0.6666666666666666,28.0,0.5957446808510638
2017-12-10,31,7,0.22580645161290322,6.0,0.6666666666666666
2017-12-11,22,1,0.045454545454545456,7.0,0.22580645161290322
2017-12-12,26,2,0.07692307692307693,1.0,0.045454545454545456
2017-12-13,20,5,0.25,2.0,0.07692307692307693
2017-12-14,67,1,0.014925373134328358,5.0,0.25
2017-12-15,80,4,0.05,1.0,0.014925373134328358
2017-12-16,4,0,0.0,4.0,0.05
2017-12-17,1,0,0.0,0.0,0.0
2017-12-19,4,4,1.0,0.0,0.0
2017-12-20,20,5,0.25,4.0,1.0
2017-12-21,31,13,0.41935483870967744,5.0,0.25
2017-12-22,114,62,0.543859649122807,13.0,0.41935483870967744
2017-12-23,80,5,0.0625,62.0,0.543859649122807
2017-12-31,108,30,0.2777777777777778,5.0,0.0625
2018-01-01,23,8,0.34782608695652173,30.0,0.2777777777777778
2018-01-02,15,1,0.06666666666666667,8.0,0.34782608695652173
2018-01-03,24,1,0.041666666666666664,1.0,0.06666666666666667
2018-01-04,15,2,0.13333333333333333,1.0,0.041666666666666664
2018-01-05,51,21,0.4117647058823529,2.0,0.13333333333333333
2018-01-06,14,2,0.14285714285714285,21.0,0.4117647058823529
2018-01-07,11,3,0.2727272727272727,2.0,0.14285714285714285
2018-01-08,51,1,0.0196078431372549,3.0,0.2727272727272727
2018-01-09,63,2,0.031746031746031744,1.0,0.0196078431372549
2018-01-10,18,3,0.16666666666666666,2.0,0.031746031746031744
2018-01-11,29,-3,-0.10344827586206896,3.0,0.16666666666666666
2018-01-12,46,-3,-0.06521739130434782,-3.0,-0.10344827586206896
2018-01-13,32,0,0.0,-3.0,-0.06521739130434782
2018-01-14,6,1,0.16666666666666666,0.0,0.0
2018-01-15,30,13,0.43333333333333335,1.0,0.16666666666666666
2018-01-16,33,3,0.09090909090909091,13.0,0.43333333333333335
2018-01-17,57,11,0.19298245614035087,3.0,0.09090909090909091
2018-01-18,56,12,0.21428571428571427,11.0,0.19298245614035087
2018-01-19,37,4,0.10810810810810811,12.0,0.21428571428571427
2018-01-20,31,2,0.06451612903225806,4.0,0.10810810810810811
2018-01-28,8,2,0.25,2.0,0.06451612903225806
2018-01-29,19,1,0.05263157894736842,2.0,0.25
2018-01-30,33,2,0.06060606060606061,1.0,0.05263157894736842
2018-01-31,41,24,0.5853658536585366,2.0,0.06060606060606061
2018-02-01,17,9,0.5294117647058824,24.0,0.5853658536585366
2018-02-02,11,2,0.18181818181818182,9.0,0.5294117647058824
2018-02-03,119,62,0.5210084033613446,2.0,0.18181818181818182
2018-02-04,2,1,0.5,62.0,0.5210084033613446
2018-02-11,13,2,0.15384615384615385,1.0,0.5
2018-02-12,22,-3,-0.13636363636363635,2.0,0.15384615384615385
2018-02-13,34,3,0.08823529411764706,-3.0,-0.13636363636363635
2018-02-14,27,8,0.2962962962962963,3.0,0.08823529411764706
2018-02-15,65,17,0.26153846153846155,8.0,0.2962962962962963
2018-02-16,47,5,0.10638297872340426,17.0,0.26153846153846155
2018-02-17,42,-13,-0.30952380952380953,5.0,0.10638297872340426
2018-02-19,5,2,0.4,-13.0,-0.30952380952380953
2018-02-20,26,10,0.38461538461538464,2.0,0.4
2018-02-21,11,1,0.09090909090909091,10.0,0.38461538461538464
2018-02-22,18,1,0.05555555555555555,1.0,0.09090909090909091
2018-02-23,137,102,0.7445255474452555,1.0,0.05555555555555555
2018-02-24,49,24,0.4897959183673469,102.0,0.7445255474452555
2018-02-25,11,0,0.0,24.0,0.4897959183673469
2018-02-26,35,1,0.02857142857142857,0.0,0.0
2018-02-27,21,2,0.09523809523809523,1.0,0.02857142857142857
2018-02-28,7,4,0.5714285714285714,2.0,0.09523809523809523
2018-03-01,158,78,0.4936708860759494,4.0,0.5714285714285714
2018-03-02,19,11,0.5789473684210527,78.0,0.4936708860759494
2018-03-03,3,2,0.6666666666666666,11.0,0.5789473684210527
2018-03-04,9,1,0.1111111111111111,2.0,0.6666666666666666
2018-03-05,54,4,0.07407407407407407,1.0,0.1111111111111111
2018-03-06,93,1,0.010752688172043012,4.0,0.07407407407407407
2018-03-07,29,-2,-0.06896551724137931,1.0,0.010752688172043012
2018-03-08,23,3,0.13043478260869565,-2.0,-0.06896551724137931
2018-03-09,19,10,0.5263157894736842,3.0,0.13043478260869565
2018-03-10,23,4,0.17391304347826086,10.0,0.5263157894736842
2018-04-15,30,9,0.3,4.0,0.17391304347826086
2018-04-16,49,11,0.22448979591836735,9.0,0.3
2018-04-17,38,3,0.07894736842105263,11.0,0.22448979591836735
2018-04-18,28,2,0.07142857142857142,3.0,0.07894736842105263
2018-04-19,53,7,0.1320754716981132,2.0,0.07142857142857142
2018-04-20,39,4,0.10256410256410256,7.0,0.1320754716981132
2018-04-21,13,3,0.23076923076923078,4.0,0.10256410256410256
2018-04-22,6,2,0.3333333333333333,3.0,0.23076923076923078
2018-04-23,44,29,0.6590909090909091,2.0,0.3333333333333333
2018-04-24,63,25,0.3968253968253968,29.0,0.6590909090909091
2018-04-25,11,0,0.0,25.0,0.3968253968253968
2018-04-26,90,53,0.5888888888888889,0.0,0.0
2018-04-27,21,5,0.23809523809523808,53.0,0.5888888888888889
2018-04-28,15,1,0.06666666666666667,5.0,0.23809523809523808
2018-05-06,1,0,0.0,1.0,0.06666666666666667
2018-05-07,36,4,0.1111111111111111,0.0,0.0
2018-05-08,17,0,0.0,4.0,0.1111111111111111
2018-05-09,80,1,0.0125,0.0,0.0
2018-05-10,81,15,0.18518518518518517,1.0,0.0125
2018-05-11,25,-2,-0.08,15.0,0.18518518518518517
2018-05-12,9,0,0.0,-2.0,-0.08
2018-05-13,13,2,0.15384615384615385,0.0,0.0
2018-05-14,109,47,0.43119266055045874,2.0,0.15384615384615385
2018-05-15,39,0,0.0,47.0,0.43119266055045874
2018-05-16,22,3,0.13636363636363635,0.0,0.0
2018-05-17,25,1,0.04,3.0,0.13636363636363635
2018-05-18,30,4,0.13333333333333333,1.0,0.04
2018-05-19,13,0,0.0,4.0,0.13333333333333333
2018-05-27,17,2,0.11764705882352941,0.0,0.0
2018-05-28,17,11,0.6470588235294118,2.0,0.11764705882352941
2018-05-29,62,22,0.3548387096774194,11.0,0.6470588235294118
2018-05-30,68,25,0.36764705882352944,22.0,0.3548387096774194
2018-05-31,38,9,0.23684210526315788,25.0,0.36764705882352944
2018-06-01,20,21,1.05,9.0,0.23684210526315788
2018-06-02,28,23,0.8214285714285714,21.0,1.05
2018-06-17,12,1,0.08333333333333333,23.0,0.8214285714285714
2018-06-18,15,5,0.3333333333333333,1.0,0.08333333333333333
2018-06-19,17,1,0.058823529411764705,5.0,0.3333333333333333
2018-06-20,48,2,0.041666666666666664,1.0,0.058823529411764705
2018-06-21,43,24,0.5581395348837209,2.0,0.041666666666666664
2018-06-22,84,19,0.2261904761904762,24.0,0.5581395348837209
2018-06-23,31,8,0.25806451612903225,19.0,0.2261904761904762
2018-07-08,6,2,0.3333333333333333,8.0,0.25806451612903225
2018-07-09,10,3,0.3,2.0,0.3333333333333333
2018-07-10,32,5,0.15625,3.0,0.3
2018-07-11,62,38,0.6129032258064516,5.0,0.15625
2018-07-12,94,23,0.24468085106382978,38.0,0.6129032258064516
2018-07-13,36,0,0.0,23.0,0.24468085106382978
2018-07-14,10,0,0.0,0.0,0.0
2018-07-29,3,1,0.3333333333333333,0.0,0.0
2018-07-30,44,17,0.38636363636363635,1.0,0.3333333333333333
2018-07-31,51,6,0.11764705882352941,17.0,0.38636363636363635
2018-08-01,25,8,0.32,6.0,0.11764705882352941
2018-08-02,12,1,0.08333333333333333,8.0,0.32
2018-08-03,68,12,0.17647058823529413,1.0,0.08333333333333333
2018-08-04,46,2,0.043478260869565216,12.0,0.17647058823529413
2018-08-05,2,0,0.0,2.0,0.043478260869565216
2018-08-06,33,3,0.09090909090909091,0.0,0.0
2018-08-07,92,21,0.22826086956521738,3.0,0.09090909090909091
2018-08-08,47,3,0.06382978723404255,21.0,0.22826086956521738
2018-08-09,17,1,0.058823529411764705,3.0,0.06382978723404255
2018-08-10,48,6,0.125,1.0,0.058823529411764705
2018-08-11,12,0,0.0,6.0,0.125
2018-08-26,13,0,0.0,0.0,0.0
2018-08-27,58,31,0.5344827586206896,0.0,0.0
2018-08-28,48,21,0.4375,31.0,0.5344827586206896
2018-08-29,42,10,0.23809523809523808,21.0,0.4375
2018-08-30,33,6,0.18181818181818182,10.0,0.23809523809523808
2018-08-31,44,13,0.29545454545454547,6.0,0.18181818181818182
2018-09-01,12,-1,-0.08333333333333333,13.0,0.29545454545454547
2018-09-16,7,1,0.14285714285714285,-1.0,-0.08333333333333333
2018-09-17,29,10,0.3448275862068966,1.0,0.14285714285714285
2018-09-18,64,25,0.390625,10.0,0.3448275862068966
2018-09-19,38,4,0.10526315789473684,25.0,0.390625
2018-09-20,74,7,0.0945945945945946,4.0,0.10526315789473684
2018-09-21,30,1,0.03333333333333333,7.0,0.0945945945945946
2018-09-22,8,1,0.125,1.0,0.03333333333333333
2018-09-23,15,2,0.13333333333333333,1.0,0.125
2018-09-24,36,2,0.05555555555555555,2.0,0.13333333333333333
2018-09-25,63,2,0.031746031746031744,2.0,0.05555555555555555
2018-09-26,58,2,0.034482758620689655,2.0,0.031746031746031744
2018-09-27,29,5,0.1724137931034483,2.0,0.034482758620689655
2018-09-28,40,4,0.1,5.0,0.1724137931034483
2018-09-29,8,0,0.0,4.0,0.1
2018-09-30,9,2,0.2222222222222222,0.0,0.0
2018-10-01,54,8,0.14814814814814814,2.0,0.2222222222222222
2018-10-02,28,4,0.14285714285714285,8.0,0.14814814814814814
2018-10-03,22,2,0.09090909090909091,4.0,0.14285714285714285
2018-10-04,55,4,0.07272727272727272,2.0,0.09090909090909091
2018-10-05,56,20,0.35714285714285715,4.0,0.07272727272727272
2018-10-06,25,7,0.28,20.0,0.35714285714285715
2018-10-07,2,0,0.0,7.0,0.28
2018-10-14,20,4,0.2,0.0,0.0
2018-10-15,58,6,0.10344827586206896,4.0,0.2
2018-10-16,58,13,0.22413793103448276,6.0,0.10344827586206896
2018-10-17,49,2,0.04081632653061224,13.0,0.22413793103448276
2018-10-18,30,4,0.13333333333333333,2.0,0.04081632653061224
2018-10-19,26,2,0.07692307692307693,4.0,0.13333333333333333
2018-10-20,7,1,0.14285714285714285,2.0,0.07692307692307693
2018-10-21,2,0,0.0,1.0,0.14285714285714285
2018-11-04,12,0,0.0,0.0,0.0
2018-11-05,136,1,0.007352941176470588,0.0,0.0
2018-11-06,58,1,0.017241379310344827,1.0,0.007352941176470588
2018-11-07,16,0,0.0,1.0,0.017241379310344827
2018-11-08,9,0,0.0,0.0,0.0
2018-11-09,17,0,0.0,0.0,0.0
2018-11-10,2,0,0.0,0.0,0.0
2018-11-11,37,5,0.13513513513513514,0.0,0.0
2018-11-12,50,4,0.08,5.0,0.13513513513513514
2018-11-13,46,3,0.06521739130434782,4.0,0.08
2018-11-14,53,14,0.2641509433962264,3.0,0.06521739130434782
2018-11-15,30,13,0.43333333333333335,14.0,0.2641509433962264
2018-11-16,13,2,0.15384615384615385,13.0,0.43333333333333335
2018-11-17,20,1,0.05,2.0,0.15384615384615385
2018-11-18,4,1,0.25,1.0,0.05
2018-11-19,19,1,0.05263157894736842,1.0,0.25
2018-11-20,102,4,0.0392156862745098,1.0,0.05263157894736842
2018-11-21,85,8,0.09411764705882353,4.0,0.0392156862745098
2018-11-22,27,1,0.037037037037037035,8.0,0.09411764705882353
2018-11-23,10,0,0.0,1.0,0.037037037037037035
2018-11-24,4,0,0.0,0.0,0.0
2018-12-02,4,1,0.25,0.0,0.0
2018-12-03,6,0,0.0,1.0,0.25
2018-12-04,87,14,0.16091954022988506,0.0,0.0
2018-12-05,39,13,0.3333333333333333,14.0,0.16091954022988506
2018-12-06,50,2,0.04,13.0,0.3333333333333333
2018-12-07,52,0,0.0,2.0,0.04
2018-12-08,9,-1,-0.1111111111111111,0.0,0.0
2018-12-09,31,2,0.06451612903225806,-1.0,-0.1111111111111111
2018-12-10,20,2,0.1,2.0,0.06451612903225806
2018-12-11,60,21,0.35,2.0,0.1
2018-12-12,34,5,0.14705882352941177,21.0,0.35
2018-12-13,58,6,0.10344827586206896,5.0,0.14705882352941177
2018-12-14,32,0,0.0,6.0,0.10344827586206896
2018-12-15,16,4,0.25,0.0,0.0
2018-12-16,17,1,0.058823529411764705,4.0,0.25
2018-12-17,42,4,0.09523809523809523,1.0,0.058823529411764705
2018-12-18,39,3,0.07692307692307693,4.0,0.09523809523809523
2018-12-19,32,11,0.34375,3.0,0.07692307692307693
2018-12-20,35,4,0.11428571428571428,11.0,0.34375
2018-12-21,67,32,0.47761194029850745,4.0,0.11428571428571428
2018-12-22,20,4,0.2,32.0,0.47761194029850745
2018-12-23,4,0,0.0,4.0,0.2
2018-12-24,6,2,0.3333333333333333,0.0,0.0
2018-12-25,58,18,0.3103448275862069,2.0,0.3333333333333333
2018-12-26,66,5,0.07575757575757576,18.0,0.3103448275862069
2018-12-27,55,9,0.16363636363636364,5.0,0.07575757575757576
2018-12-28,35,6,0.17142857142857143,9.0,0.16363636363636364
2018-12-29,26,2,0.07692307692307693,6.0,0.17142857142857143
2019-01-28,37,2,0.05405405405405406,2.0,0.07692307692307693
2019-01-29,93,7,0.07526881720430108,2.0,0.05405405405405406
2019-01-30,82,14,0.17073170731707318,7.0,0.07526881720430108
2019-01-31,16,2,0.125,14.0,0.17073170731707318
2019-02-01,20,0,0.0,2.0,0.125
2019-02-02,2,0,0.0,0.0,0.0
2019-02-03,8,4,0.5,0.0,0.0
2019-02-04,27,12,0.4444444444444444,4.0,0.5
2019-02-05,117,22,0.18803418803418803,12.0,0.4444444444444444
